angle,x_coord,y_coord
30,192,59
35,134,87
35,186,52
40,136,83
40,164,58
40,180,46
45,146,70
45,173,41
50,166,36
55,158,32
60,151,28
65,143,26
70,133,24
80,119,23
95,96,24
100,88,28
105,82,33
110,78,39
115,90,87
120,85,78
125,93,93
130,24,17
135,20,26
140,15,36
145,25,55
145,12,45
150,71,93
150,31,69
155,52,86
160,12,79
165,17,87
170,22,96
175,29,104
180,38,111
185,46,115
190,52,119
195,59,123
200,64,125
205,35,143
205,70,127
210,32,150
210,41,146
210,73,127
215,31,160
215,44,153
215,78,129
220,31,172
220,47,158
220,80,129
225,34,180
225,52,163
225,84,130
230,37,188
230,57,165
230,87,131
235,43,196
235,89,132
240,51,200
240,73,164
240,90,132
245,81,159
245,93,133
250,90,147
255,79,201
255,94,141
260,88,195
265,97,187
270,104,178
275,108,171
280,113,163
285,117,160
290,120,156
295,123,154
300,162,210
305,170,205
310,176,197
310,159,176
310,141,153
315,182,189
320,185,179
325,188,170
340,189,141
345,187,133
350,181,124
350,136,116
355,173,118
355,134,115
