angle,summed_distances
0,183
5,302
10,405
15,396
20,366
25,515
30,517
35,519
40,521
45,465
50,464
55,240
60,156
65,152
80,141
85,135
90,129
95,120
100,112
105,110
110,109
115,107
120,105
125,105
130,105
135,105
140,106
145,109
150,113
155,117
160,120
165,125
170,129
175,132
180,136
185,139
210,161
215,163
220,163
225,162
230,160
235,157
240,156
245,154
255,143
260,134
265,125
270,119
275,112
280,107
285,102
290,94
295,86
305,63
310,51
315,43
320,103
325,216
330,76
335,68
340,176
345,164
350,117
355,311
