angle,x_coord,y_coord
0,566,238
5,578,214
10,589,187
15,595,159
20,597,130
25,592,102
30,582,77
35,565,54
40,544,36
45,520,23
50,493,14
55,463,11
60,434,13
65,406,20
70,379,33
75,354,51
80,334,71
85,317,96
90,304,117
95,292,97
100,275,73
105,255,52
110,229,33
115,203,20
120,175,13
125,146,11
130,116,14
135,89,23
140,64,36
145,43,54
150,26,77
155,16,102
160,11,130
165,13,159
170,19,186
175,30,214
180,42,237
185,56,258
190,71,278
195,86,296
200,101,312
205,115,326
210,129,339
215,143,351
220,156,362
225,168,372
230,182,383
235,196,393
240,208,402
245,223,412
250,237,422
255,253,432
260,268,441
265,286,452
270,303,462
275,323,452
280,341,441
285,356,431
290,372,421
295,386,412
300,400,402
305,413,393
310,426,383
315,440,373
320,452,362
325,466,350
330,480,339
335,493,326
340,507,312
345,523,296
350,537,278
355,552,258
