angle,summed_distances
0,261
5,275
10,289
15,301
20,311
25,318
30,320
35,318
40,312
45,303
50,291
55,275
60,258
65,238
70,216
75,192
80,167
85,141
90,120
95,142
100,167
105,193
110,217
115,239
120,258
125,276
130,291
135,304
140,313
145,319
150,321
155,318
160,313
165,302
170,289
175,276
180,263
185,249
190,237
195,226
200,217
205,209
210,202
215,198
220,193
225,191
230,190
235,190
240,190
245,192
250,196
255,201
260,207
265,214
270,225
275,215
280,206
285,200
290,195
295,192
300,190
305,188
310,189
315,190
320,193
325,197
330,202
335,208
340,216
345,225
350,236
355,248
