angle,x_coord,y_coord
0,323,211
5,323,210
10,323,209
10,607,159
15,323,209
15,609,132
20,323,208
25,323,208
30,323,207
35,322,206
40,322,205
45,322,205
50,322,204
50,428,77
55,322,203
55,396,97
55,429,49
60,322,202
60,378,104
60,418,35
65,321,201
65,364,109
65,404,23
70,321,199
70,351,115
70,386,18
75,320,198
75,340,121
75,369,14
80,319,196
80,331,126
80,351,14
85,318,193
85,323,132
85,334,14
90,317,189
90,316,138
90,316,24
95,313,169
95,302,44
100,310,170
100,290,59
105,308,174
105,280,73
110,306,176
110,270,82
115,260,90
120,251,96
125,238,99
130,225,102
135,209,104
140,191,105
145,167,107
150,142,109
155,111,114
160,91,128
165,76,146
170,65,166
175,51,187
180,40,209
185,26,236
190,16,263
195,14,291
200,19,318
205,35,341
210,57,360
215,81,374
220,105,387
225,126,400
230,154,404
235,179,406
240,203,406
245,229,397
250,255,378
255,276,362
260,293,341
265,306,326
270,316,311
275,324,295
275,322,252
280,326,264
285,326,246
290,325,235
295,325,228
300,325,225
305,325,222
310,324,220
315,324,218
320,324,217
325,324,215
330,324,215
335,324,214
340,324,213
345,324,212
350,324,212
355,323,211
