angle,summed_distances
0,6
5,6
10,300
15,308
20,6
25,6
30,7
35,7
40,7
45,7
50,182
55,343
60,335
65,329
70,317
75,308
80,300
85,294
90,282
95,209
100,195
105,180
110,173
115,133
120,132
125,137
130,142
135,152
140,164
145,182
150,202
155,227
160,240
165,249
170,255
175,267
180,277
185,292
190,305
195,313
200,316
205,310
210,299
215,286
220,275
225,268
230,252
235,238
240,225
245,205
250,178
255,156
260,132
265,115
270,100
275,125
280,53
285,36
290,25
295,18
300,16
305,13
310,11
315,9
320,9
325,8
330,8
335,7
340,7
345,7
350,7
355,6
