angle,x_coord,y_coord
0,323,211
5,322,202
10,319,194
15,315,186
20,313,179
25,310,171
30,308,163
35,309,152
35,375,105
35,434,64
40,321,131
40,425,43
45,409,27
50,387,18
55,363,14
60,339,14
65,305,39
70,273,79
75,257,92
80,245,98
85,235,100
90,226,102
95,216,103
100,207,104
105,197,104
110,187,106
115,177,106
120,166,107
125,153,108
130,140,110
135,127,112
140,111,114
145,99,121
150,88,130
155,78,142
160,69,153
165,64,167
170,55,180
175,47,195
180,40,209
185,31,227
190,21,246
195,15,266
200,14,287
205,16,308
210,24,327
215,36,343
220,51,357
225,68,367
230,85,377
235,102,386
240,118,396
245,136,402
250,155,404
255,173,406
260,191,406
265,208,406
270,225,400
275,241,388
280,255,379
285,268,370
290,279,359
295,289,347
300,298,336
305,306,326
310,314,316
315,320,305
320,326,295
325,328,282
330,328,270
335,328,258
340,326,247
345,326,237
350,325,228
355,324,219
